country,total_cases,total_deaths,total_recovered,active_cases,total_test,population
Kuwait,0.006361545112263272,0.002268444350293706,0.00651617540020295,4.656420957984657e-06,0.007290485216618043,0.0031140530697068513
Dominican Republic,0.006335027997389863,0.0038695953430691083,0.006363672674236462,0.000997569713469419,0.0032254031704171356,0.007860173635093538
Cyprus,0.006167729283501606,0.001135987501489494,0.006251526125235866,0.0007262190647021561,0.008311645442092255,0.0008697279706554844
Myanmar,0.006082861079800719,0.017203105209036704,0.006062792651985986,2.83037352348087e-06,0.008571878668371268,0.03926197597856626
Palestine,0.005959901515646499,0.004769911777816027,0.0060741030405413576,1.4517077104305108e-05,0.002654290619448911,0.003800241890739144
Estonia,0.005891598111175254,0.00257031515488532,0.005181362031138131,0.007850999642277307,0.003154900759612068,0.0009397697553506711
Moldova,0.005745547639172529,0.010550472886794036,0.0049756037583611875,0.007539567252322687,0.002773076718939388,0.0028530359319850884
Venezuela,0.005293653006190513,0.005159166236368371,0.005378879313999076,6.747245270491493e-05,0.0028961194669011392,0.020806433850958306
Egypt,0.0049487097768093884,0.021724988635711668,0.004364092698247055,0.0044601208587755,0.0031843963934387472,0.07546871456428694
Libya,0.004867296571789076,0.005681702833790112,0.004941840373328094,3.652094869007574e-07,0.002141210577150844,0.005005393110072896
China,0.0048302513081584725,0.0046534002392017194,0.003741044252250523,0.010862882280747855,0.13795093283451104,0.0
Ethiopia,0.0047940601969794555,0.006683525533238888,0.004801792892001116,0.0004955892737243279,0.004707410904051618,0.08588793461182267
Qatar,0.00472690845873507,0.0006055069355258687,0.004851673087253164,2.40125237637248e-05,0.003505134036665646,0.002118475532007319
Réunion,0.004663192524734143,0.000811167454443547,0.0041310750073288065,0.006062842692039474,0.0013826649559336998,0.0006455570075220595
Honduras,0.00451790983021599,0.009801091854342924,0.0,0.0,0.0013964738443104344,0.007266469572488885
Armenia,0.004280388268145058,0.00769417486440087,0.004294809166258655,0.00019438274940292814,0.002796007612749804,0.0021128244439716113
Bosnia and Herzegovina,0.0038521219872507477,0.014347689849814861,0.0037413502051695602,0.0005519228370787696,0.001624993875517453,0.002309998291976592
Oman,0.0038335513693426603,0.004084965156871312,0.003796471077841242,0.0009269016777541223,0.02155483325539235,0.003784923027360929
North Macedonia,0.0033246972442239524,0.008507107645187058,0.003322283531129757,1.5247496078106622e-05,0.0019107868230707095,0.001479636700600172
Kenya,0.00328997450748418,0.005020588118471051,0.0033263990913632562,7.4867944814655274e-06,0.0034203743969521312,0.039964418520288
Zambia,0.0032703290010976916,0.003572137854334097,0.0033072918380969395,0.00014717942322100525,0.0033332333792605614,0.013841741905878856
Albania,0.003207025747494723,0.003173174100897227,0.0032465651183925777,0.00014800114456653196,0.0016735448441352288,0.002037757179175227
Botswana,0.0031596154878223964,0.002471456879697423,0.003216788990755968,4.501206926051835e-05,0.0017475779366275296,0.0017354662688922507
Luxembourg,0.0028575910198288517,0.0010000573731061358,0.0028521819363047673,0.0006969110033783703,0.0038044858365298743,0.0004566731755674486
Montenegro,0.0027481635338402147,0.0024688088901834615,0.0027951266516288505,3.1773225360365896e-05,0.002326037236962522,0.00044642102554066004
Brunei,0.0026412985052063375,0.00019859921354711436,0.0024042076461404595,0.0028663466579405945,0.0006188685773355416,0.0003166649634964595
Algeria,0.002604425991509763,0.006073605281856417,0.0018036319355196524,0.007463786283790779,0.00019904681440692534,0.0322402413863854
Nigeria,0.0025572556623013653,0.0027848023055162033,0.002564576322960901,0.00031572360142570477,0.004922239305174812,0.15408932010362889
Zimbabwe,0.0025106419717692828,0.004988812244303513,0.0025162258923040397,9.157627884036492e-05,0.0021776899769522704,0.010899389777470802
Uzbekistan,0.0024046982761168918,0.001444919611451672,0.0023833337615029294,0.0006796548551223096,0.001188029122604158,0.024442846085683763
Mozambique,0.0022264491358549247,0.0019709868615586947,0.0022581792787187568,8.728506736928103e-05,0.0011821765542786539,0.02352389698894446
Martinique,0.002204308352643577,0.0009682814989385976,0.0,0.0,0.0007146961928290348,0.0002659452220422468
Laos,0.002091886534465109,0.0006690586838609452,0.0,0.0,0.0010632628501753053,0.005318394712561932
Iceland,0.002002776360161961,0.0002021298662323964,0.0,0.0,0.001721268969349328,0.0002455461378685647
Afghanistan,0.0020014039579082884,0.006957151116348246,0.0018365860257346476,0.0013307320678946348,0.0010250599259067782,0.02897303238512934
Kyrgyzstan,0.0019826605900661724,0.00264004554541964,0.0019384190005289927,0.0006569205645627375,0.0016443708084207206,0.004783249685381769
El Salvador,0.0019365267604619471,0.00373366521468575,0.0017706778453046574,0.001656681534953561,0.002250422881902606,0.004656790150601575
Guadeloupe,0.001932774248006101,0.0008888418135197518,0.0,0.0,0.0008087709692821994,0.00028422079382913075
Trinidad and Tobago,0.0018033461585443614,0.0038184008791325185,0.0018087147017552686,2.9034154208610217e-05,0.0007664346901886181,0.0009999667460946083
Maldives,0.0017822994582485292,0.00027450824628067806,0.0016155004986588455,0.001982813606755937,0.00190875032242474,0.0003845960323307811
Ghana,0.0016421512756584517,0.001290453556470583,0.0016742138507669633,1.278233204152651e-06,0.0021790375851273975,0.023030512002310974
Namibia,0.0016385907075737486,0.0036083270443582377,0.0016427895251471538,1.835177671676306e-05,0.000916220950867,0.0018724687192051604
Uganda,0.0016353180560457602,0.0032040673118934448,0.000991198632639162,0.006056908037877336,0.0025972780854883982,0.03443179929983325
Jamaica,0.0014722325211040917,0.0030716678361953687,0.0010087761213102928,0.00435649266686741,0.0010208248322687587,0.002122157376885534
Cambodia,0.0013310190472541705,0.0026974186515554732,0.0013385341513382691,1.1869308324274616e-06,0.0026654017048954007,0.01220549634448184
Rwanda,0.0012772458316784529,0.0012957495354985061,0.0012984148411484056,5.75204941868693e-06,0.005137846266875189,0.009668816126616494
Cameroon,0.0011899399344640494,0.0017344331316447986,0.0011706745627259197,0.00031152369232634607,0.0015103678588452671,0.01984282487871225
Malta,0.0011234216126444353,0.0007273144531680988,0.0011411353018653387,5.615095861099145e-05,0.0018185683488574993,0.0003156710999823169
Barbados,0.0010187639442787025,0.0005040006708240102,0.0010419177310563106,1.4608379476030296e-06,0.0006814379473092946,0.00020476076604713356
Angola,0.0010094258506225947,0.0017044225838199014,0.0010186850481074942,3.378187753832006e-06,0.0012931132456908468,0.024901572392745378
Channel Islands,0.000970384365532104,0.00019683388720447334,0.0009946233314425772,1.0499772748396776e-05,0.0010801627016408632,0.00012545074198579742
French Guiana,0.0009407481546276214,0.00037071853195461347,0.000111070779059465,0.007884325007957002,0.0005615094416562823,0.00022334843088316525
DRC,0.0009166207471749436,0.0012913362196419035,0.0008316392506368188,0.0008935763120744282,0.000730022541466949,0.06770840359573961
Senegal,0.0008531639380750605,0.0017397291106727218,0.0008579413322250074,1.826047434503787e-07,0.0009885417274054925,0.012550314375949374
Malawi,0.0008498720921099577,0.002370833278166885,0.0008425449917831409,4.601639534949544e-05,0.0005386845976254822,0.014346923867586509
Ivory Coast,0.0008443344970024816,0.0007352584217099834,0.0008600040470662574,1.0043260889770828e-06,0.001441314795028292,0.019722501989035118
Suriname,0.0007871158799647467,0.0012339631135060705,0.0,0.0,0.00020658410849967092,0.00042429796495653744
New Caledonia,0.0007662419296029431,0.0002771562357946396,0.00078487780126915,4.565118586259468e-07,8.532610073146594e-05,0.00020681674121372898
French Polynesia,0.0007481223809670418,0.0005728483981870099,0.0,0.0,0.0,0.00020201733307068415
Eswatini,0.000711422617204496,0.0012551470296177627,0.0007172720756109542,3.1955830103816277e-06,0.0009041855941705192,0.0008423078592531383
Guyana,0.0007000691076513863,0.0011421661436887376,0.000704254272378376,2.729940914583162e-05,0.0006189401393819496,0.0005645009685889536
Belize,0.0006780914771555103,0.0006072722618685097,0.0006903580881846914,2.099954549679355e-06,0.0004966371532975232,0.00029303333468843804
Fiji,0.0006604325950103524,0.0007793915802760088,0.0006590818042998998,0.00010563684408604409,0.0005756994194849721,0.0006465558474629539
Madagascar,0.0006509025569831013,0.0012524990401038012,0.0006550353302094093,3.4694901255571957e-06,0.0004519695034390387,0.020743223278357106
Sudan,0.000611697919177139,0.004414198519773861,0.0005752309655857347,4.172518387841154e-05,0.00048536397550495296,0.03269655981381726
Mauritania,0.0006109589333482384,0.0008800151818065468,0.0006162187872877035,2.109084786851874e-05,0.0008707781892046516,0.0034849070550216263
Cabo Verde,0.0006067745460573206,0.0003645398897553699,0.0006193671415190853,5.478142303511361e-06,0.0003462758096678874,0.00040357256937155955
Bhutan,0.0006007858816776583,1.8535926597730674e-05,0.000607602758309659,9.312841915969314e-05,0.0019862640893911214,0.0005601615244613953
Syria,0.0005513410116712159,0.002792746274058088,0.0005358025168259548,0.0,0.00012611215621731936,0.013766793364406407
Burundi,0.0005133264289663404,3.354120051017931e-05,0.0005269693599698839,5.478142303511361e-06,0.00029809644637543447,0.008975227359004294
Seychelles,0.0004861950921052743,0.00015181806546712742,0.0004978150076203496,4.839025701435036e-06,0.0,7.068374374616715e-05
Gabon,0.00047003337605503186,0.00027009493042407553,0.00048038556068423667,9.130237172518935e-08,0.001398399122016806,0.0016575290276963001
Andorra,0.0004590733524627653,0.00014563942326788386,0.0004694206028439074,1.0134563261496018e-05,0.00021540865723442855,5.5069849353381874e-05
Papua New Guinea,0.00044862198145402776,0.0005913843247847405,0.00043407810597062286,0.00019155237587944728,0.00021481460602990995,0.006605971199103638
Curaçao,0.0004412897064763643,0.00026038563553954994,0.00044136175933350583,8.865460294515887e-05,0.0004282453917648237,0.0001176775633995062
Aruba,0.0004221624498919622,0.00020830850843163995,0.0004188396767127755,0.00012042782830552476,0.00015337126054541873,7.650118661900611e-05
Tanzania,0.0004094077464295084,0.00074673304293715,0.0,0.0,0.0,0.04500008536704633
Mayotte,0.0004030543877446744,0.00016594067620825554,0.0,0.0,0.00015253838178843037,0.00020350670650568327
Mauritius,0.0003996953612496715,0.0009206176876872901,0.0003942154014547903,6.080737956897611e-05,0.00030924719271511406,0.0009062265062893049
Togo,0.00037764095300533827,0.0002559723196829474,0.0003855105474357351,2.739071151755681e-07,0.0006956201653980125,0.00617136421067172
Guinea,0.000366949651532672,0.00041220370100667733,0.0003726407859381749,1.4608379476030296e-06,0.0005691398526286911,0.00985737080348738
Isle of Man,0.0003647230968274129,0.00010238892787317895,0.0,0.0,0.0001299782311100065,6.094843118345707e-05
Bahamas,0.0003597613348333658,0.0007352584217099834,0.0003589123823775106,2.6660292543755292e-05,0.0002223070660694843,0.0002847340767026722
Lesotho,0.0003338392475105007,0.0006381654728647274,0.0002564082850510841,0.0007383622801416063,0.00037179587004894176,0.001546743815348019
Faeroe Islands,0.0003325724146609568,2.471456879697423e-05,0.0,0.0,0.0006707864109078099,3.500063118153247e-05
Haiti,0.0003269868334606948,0.0007590903273356371,0.0003260175088565228,1.6708334025709653e-05,0.00011417336517382262,0.008303724684234633
Mali,0.00031457762986629846,0.0006558187362911376,0.0003153979817312354,7.578096853190717e-06,0.0006805654076591164,0.015266087661594246
Cayman Islands,0.0003019956763378734,3.2658537338858804e-05,8.441339730723336e-05,0.0020891808698157827,0.0001920733947521408,4.782843751142445e-05
Saint Lucia,0.0002859779185659882,0.00036100923707008787,0.0002871516186898111,2.729940914583162e-05,0.00018190813538889776,0.0001316001836147913
Benin,0.00026856856410331615,0.00014387409692524284,0.0002745976795602892,2.739071151755681e-07,0.000521032051382646,0.009088893211523752
Somalia,0.0002621288304514678,0.0012013045761672116,0.0001300990767337718,0.001166387798789294,0.0003452791141781581,0.011973137026587404
Congo,0.0002434814347949232,0.0003407079841297162,0.0002369259927227223,8.975023140586113e-05,0.0002998837731489716,0.004121764557663455
Solomon Islands,0.0002358036599492023,0.00013504746521203777,0.0,0.0,0.0,0.000512684991413133
San Marino,0.00022478605304559286,0.00010768490690110201,0.0002297212949518489,2.647768780030491e-06,0.0001359109834152207,2.4231643690665496e-05
Timor-Leste,0.00022467088642290703,0.00012180751764223014,0.0002280040108256407,1.5977915051908137e-05,0.00024014584607164703,0.0009735518728961231
